	Time	Day_of_week	Age_of_driver	Gender_of_driver	Educational_level	Vehicle_driver_relation	Driving_experience	Owner_of_vehicle	Area_accident_occured	Lanes_or_Medians	Road_allignment	Types_of_Junction	Road_surface_type	Road_surface_conditions	Light_conditions	Weather_conditions	Type_of_collision	Number_of_vehicles_involved	Number_of_casualties	Vehicle_movement	Pedestrian_movement	Cause_of_accident	Accident_severity
29	12:25:00	Tuesday	18-30	Male	Above high school	Employee	1-2yr	Owner	 Industrial areas	other	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Fall from vehicles	2	1	Going straight	Not a Pedestrian	Overspeed	Slight Injury
30	15:30:00	Monday	18-30	Male	Junior high school	Employee	2-5yr	Owner	Residential areas	Two-way (divided with solid lines road marking)	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Collision with roadside-parked vehicles	1	1	Going straight	Not a Pedestrian	Changing lane to the left	Slight Injury
31	18:10:00	Thursday	18-30	Male	Junior high school	Employee	Above 10yr	Governmental	Residential areas	Undivided Two way	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Collision with roadside-parked vehicles	1	1	Moving Backward	Not a Pedestrian	No priority to vehicle	Slight Injury
32	15:25:00	Thursday	18-30	Male	Junior high school	Employee	Below 1yr	Owner	Other	Undivided Two way	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Rollover	2	1	Reversing	Not a Pedestrian	Changing lane to the right	Slight Injury
33	15:25:00	Thursday	31-50	Male	Junior high school	Employee	2-5yr	Governmental	Residential areas	other	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Collision with animals	2	1	Turnover	Not a Pedestrian	No distancing	Slight Injury
34	13:57:00	Saturday	Over 51	Male	Junior high school	Employee	Below 1yr	Owner	Rural village areas	Undivided Two way	Gentle horizontal curve	O Shape	Asphalt roads	Dry	Daylight	Normal	Collision with animals	2	1	Going straight	Not a Pedestrian	No priority to pedestrian	Slight Injury
35	13:57:00	Saturday	18-30	Male	High school	Employee	5-10yr	Owner	Rural village areas	Undivided Two way	Gentle horizontal curve	O Shape	Asphalt roads	Dry	Daylight	Normal	Fall from vehicles	2	1	Going straight	Unknown or other	No distancing	Slight Injury
36	20:30:00	Friday	18-30	Male	Above high school	Employee	1-2yr	Owner	Office areas	Double carriageway (median)	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Darkness - light	Normal	Collision with roadside-parked vehicles	2	2	Going straight	Not a Pedestrian	No priority to vehicle	Slight Injury
37	20:30:00	Friday	Over 51	Male	Junior high school	Employee	Below 1yr	Owner	Residential areas	Undivided Two way	Gentle horizontal curve	Crossing	Asphalt roads	Dry	Darkness - light	Normal	Collision with animals	2	2	Going straight	Not a Pedestrian	Other	Slight Injury
38	20:30:00	Friday	Over 51	Male	Junior high school	Employee	Below 1yr	Owner	Residential areas	other	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Darkness - light	Normal	Collision with animals	2	2	Going straight	Not a Pedestrian	Driving carelessly	Slight Injury
39	16:30:00	Sunday	Over 51	Male	High school	Employee	Below 1yr	Owner	 Outside rural areas	other	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Collision with pedestrians	2	1	Going straight	Not a Pedestrian	Changing lane to the left	Slight Injury
40	16:30:00	Sunday	31-50	Male	High school	Employee	Below 1yr	Owner	Residential areas	other	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Driving carelessly	Slight Injury
41	21:50:00	Sunday	31-50	Male	High school	Employee	Below 1yr	Owner	 Church areas	other	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Darkness - light	Normal	Vehicle with vehicle collision	2	2	Going straight	Not a Pedestrian	Changing lane to the left	Slight Injury
42	21:50:00	Sunday	18-30	Male	High school	Employee	2-5yr	Owner	Office areas	Undivided Two way	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Darkness - light	Normal	Collision with pedestrians	2	2	Going straight	Not a Pedestrian	No priority to vehicle	Slight Injury
43	9:12:00	Wednesday	18-30	Male	Junior high school	Employee	Above 10yr	Owner	Office areas	Two-way (divided with broken lines road marking)	Tangent road with mountainous terrain and	Y Shape	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle	No distancing	Slight Injury
44	9:12:00	Wednesday	18-30	Male	Junior high school	Employee	Above 10yr	Governmental	Office areas	Two-way (divided with broken lines road marking)	Escarpments	Y Shape	Gravel roads	Dry	Daylight	Normal	Collision with roadside objects	2	1	Going straight	Not a Pedestrian	Changing lane to the right	Slight Injury
45	14:40:00	Friday	31-50	Male	Junior high school	Employee	5-10yr	Owner	Other	Undivided Two way	Tangent road with mountainous terrain and	Y Shape	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	1	1	Going straight	Not a Pedestrian	Changing lane to the right	Serious Injury
46	10:36:00	Friday	31-50	Male	Junior high school	Employee	1-2yr	Owner	Other	Undivided Two way	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Driving at high speed	Slight Injury
47	10:36:00	Friday	31-50	Male	Junior high school	Employee	Below 1yr	Owner	Residential areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	No distancing	Slight Injury
48	18:19:00	Monday	18-30	Male	Junior high school	Employee	Below 1yr	Owner	Other	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Rollover	2	1	Going straight	Not a Pedestrian	Changing lane to the right	Slight Injury
49	18:19:00	Monday	18-30	Male	High school	Employee	2-5yr	Owner	Other	Undivided Two way	Tangent road with mild grade and flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Changing lane to the left	Slight Injury
50	19:12:00	Tuesday	18-30	Male	Junior high school	Owner	1-2yr	Owner	Other	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Other	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Getting off the vehicle improperly	Slight Injury
51	19:12:00	Tuesday	31-50	Male	Junior high school	Employee	5-10yr	Governmental	Other	Undivided Two way	Tangent road with flat terrain	Other	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Other	Slight Injury
52	11:38:00	Saturday	Over 51	Male	Elementary school	Employee	2-5yr	Owner	Other	Double carriageway (median)	Tangent road with mild grade and flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Collision with pedestrians	2	3	Going straight	Not a Pedestrian	Other	Slight Injury
53	11:38:00	Saturday	31-50	Male	Elementary school	Owner	5-10yr	Owner	Other	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	3	Going straight	Not a Pedestrian	No distancing	Slight Injury
54	11:38:00	Saturday	31-50	Male	Junior high school	Employee	Above 10yr	Owner	 Church areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Collision with roadside objects	2	3	Going straight	Not a Pedestrian	No priority to vehicle	Slight Injury
55	11:38:00	Saturday	18-30	Male	Junior high school	Employee	5-10yr	Owner	Other	Undivided Two way	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	3	Going straight	Not a Pedestrian	Overtaking	Slight Injury
56	13:30:00	Thursday	18-30	Male	High school	Employee	5-10yr	Organization	 Industrial areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Rollover	2	1	Going straight	Not a Pedestrian	No priority to pedestrian	Slight Injury
57	13:30:00	Thursday	31-50	Male	Junior high school	Employee	5-10yr	Owner	Residential areas	Double carriageway (median)	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	No distancing	Slight Injury
58	12:39:00	Tuesday	18-30	Male	Junior high school	Employee	Above 10yr	Governmental	Other	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	No junction	Asphalt roads	Wet or damp	Daylight	Raining	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Changing lane to the right	Slight Injury
59	12:39:00	Tuesday	Over 51	Male	Junior high school	Employee	1-2yr	Owner	Office areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	No junction	Gravel roads	Wet or damp	Daylight	Raining	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Driving carelessly	Slight Injury
60	12:30:00	Friday	18-30	Male	Junior high school	Employee	2-5yr	Owner	 Industrial areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Changing lane to the right	Slight Injury
61	12:30:00	Friday	31-50	Male	Junior high school	Employee	1-2yr	Owner	 Industrial areas	Double carriageway (median)	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Overtaking	Slight Injury
62	16:55:00	Sunday	31-50	Male	Junior high school	Employee	1-2yr	Owner	Other	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Collision with roadside objects	2	1	Going straight	Not a Pedestrian	Other	Slight Injury
63	16:55:00	Sunday	31-50	Male	Elementary school	Employee	5-10yr	Organization	 Hospital areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Driving to the left	Slight Injury
64	18:25:00	Monday	31-50	Female	Junior high school	Employee	5-10yr	Owner	Office areas	One way	Tangent road with flat terrain	No junction	Earth roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Driving at high speed	Slight Injury
65	18:25:00	Monday	31-50	Male	Junior high school	Employee	Above 10yr	Owner	 Church areas	Undivided Two way	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Collision with roadside objects	2	1	Going straight	Not a Pedestrian	Driving at high speed	Slight Injury
66	13:01:00	Thursday	31-50	Male	Junior high school	Employee	2-5yr	Organization	 Hospital areas	Undivided Two way	Tangent road with mountainous terrain and	O Shape	Asphalt roads	Dry	Daylight	Normal	Collision with roadside objects	2	1	Going straight	Not a Pedestrian	Changing lane to the right	Slight Injury
67	13:01:00	Thursday	18-30	Male	Junior high school	Owner	Above 10yr	Owner	Office areas	other	Tangent road with flat terrain	O Shape	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	No distancing	Slight Injury
68	13:45:00	Wednesday	18-30	Male	Junior high school	Employee	2-5yr	Owner	Other	Two-way (divided with broken lines road marking)	Escarpments	No junction	Gravel roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Other	Slight Injury
69	13:45:00	Wednesday	31-50	Male	Elementary school	Other	5-10yr	Owner	Office areas	Undivided Two way	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	No priority to vehicle	Slight Injury
70	18:45:00	Monday	18-30	Male	Elementary school	Employee	5-10yr	Owner	Office areas	Two-way (divided with broken lines road marking)	Tangent road with mountainous terrain and	Crossing	Asphalt roads	Dry	Darkness - light	Normal	Vehicle with vehicle collision	2	1	Reversing	Not a Pedestrian	Changing lane to the left	Slight Injury
71	18:45:00	Monday	31-50	Male	Junior high school	Employee	5-10yr	Owner	Other	Double carriageway (median)	Steep grade downward with mountainous terrain	Crossing	Asphalt roads	Dry	Darkness - light	Normal	Collision with roadside objects	2	1	Going straight	Not a Pedestrian	No priority to pedestrian	Slight Injury
72	11:02:00	Thursday	31-50	Male	Junior high school	Employee	5-10yr	Owner	Office areas	Undivided Two way	Tangent road with mild grade and flat terrain	No junction	Earth roads	Dry	Daylight	Normal	Vehicle with vehicle collision	1	4	Going straight	Not a Pedestrian	Overtaking	Slight Injury
73	11:02:00	Thursday	31-50	Male	Elementary school	Employee	Above 10yr	Owner	Residential areas	Undivided Two way	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	1	4	Going straight	Not a Pedestrian	Driving carelessly	Slight Injury
74	11:02:00	Thursday	31-50	Male	Junior high school	Employee	Below 1yr	Owner	Other	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	1	4	Going straight	Not a Pedestrian	No priority to vehicle	Slight Injury
75	11:02:00	Thursday	31-50	Male	Junior high school	Employee	5-10yr	Owner	Office areas	Double carriageway (median)	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	1	4	Going straight	Not a Pedestrian	No priority to pedestrian	Slight Injury
76	15:55:00	Tuesday	Over 51	Male	Elementary school	Employee	1-2yr	Owner	Office areas	Undivided Two way	Tangent road with mountainous terrain and	No junction	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	1	1	Turnover	Not a Pedestrian	Changing lane to the right	Serious Injury
77	15:00:00	Wednesday	Over 51	Male	Elementary school	Employee	1-2yr	Owner	Office areas	other	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	1	1	Going straight	Not a Pedestrian	Driving carelessly	Slight Injury
78	20:00:00	Sunday	31-50	Male	Junior high school	Employee	Above 10yr	Owner	Other	Two-way (divided with broken lines road marking)	Tangent road with mild grade and flat terrain	Y Shape	Earth roads	Dry	Darkness - light	Normal	Collision with roadside objects	2	1	Going straight	Not a Pedestrian	Changing lane to the right	Slight Injury
79	20:00:00	Sunday	Under 18	Male	High school	Owner	2-5yr	Owner	 Church areas	Undivided Two way	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Darkness - light	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Changing lane to the right	Slight Injury
80	18:48:00	Wednesday	31-50	Male	Junior high school	Employee	1-2yr	Owner	 Industrial areas	Undivided Two way	Tangent road with flat terrain	Crossing	Asphalt roads	Wet or damp	Darkness - light	Normal	Collision with pedestrians	2	1	Going straight	Not a Pedestrian	Changing lane to the left	Serious Injury
81	18:48:00	Wednesday	31-50	Male	Junior high school	Employee	1-2yr	Owner	Office areas	Double carriageway (median)	Tangent road with flat terrain	Crossing	Asphalt roads	Wet or damp	Darkness - light	Normal	Collision with roadside objects	2	1	Going straight	Not a Pedestrian	Overturning	Serious Injury
82	15:55:00	Sunday	Over 51	Male	Above high school	Owner	2-5yr	Owner	 Church areas	Undivided Two way	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Collision with roadside objects	1	2	Going straight	Not a Pedestrian	Driving carelessly	Slight Injury
83	15:55:00	Sunday	Over 51	Male	Above high school	Owner	2-5yr	Owner	Office areas	Undivided Two way	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	1	2	Turnover	Not a Pedestrian	No distancing	Slight Injury
84	23:25:00	Wednesday	Over 51	Male	Elementary school	Owner	2-5yr	Owner	Office areas	other	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Darkness - light	Normal	Rollover	2	3	Going straight	Not a Pedestrian	Driving carelessly	Slight Injury
85	23:25:00	Wednesday	Over 51	Male	Junior high school	Employee	1-2yr	Owner	Residential areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Darkness - light	Normal	Vehicle with vehicle collision	2	3	Going straight	Not a Pedestrian	Changing lane to the left	Slight Injury
86	23:25:00	Wednesday	31-50	Male	Junior high school	Owner	5-10yr	Owner	Office areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Darkness - light	Normal	Vehicle with vehicle collision	2	3	Reversing	Not a Pedestrian	No priority to vehicle	Slight Injury
87	7:40:00	Monday	18-30	Male	Junior high school	Employee	Below 1yr	Owner	Residential areas	Undivided Two way	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Changing lane to the right	Serious Injury
88	7:40:00	Monday	18-30	Male	Junior high school	Employee	2-5yr	Owner	Office areas	Double carriageway (median)	Tangent road with flat terrain	Y Shape	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	No distancing	Serious Injury
89	15:17:00	Sunday	31-50	Male	Junior high school	Employee	5-10yr	Owner	Office areas	Double carriageway (median)	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Reversing	Not a Pedestrian	Moving Backward	Fatal injury
90	15:17:00	Sunday	31-50	Male	Junior high school	Employee	Above 10yr	Owner	Other	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	No junction	Earth roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	Moving Backward	Fatal injury
91	15:50:00	Monday	18-30	Male	Elementary school	Employee	2-5yr	Owner	Other	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Moving Backward	Not a Pedestrian	No distancing	Slight Injury
92	15:50:00	Monday	18-30	Male	Elementary school	Owner	Above 10yr	Owner	Residential areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	No junction	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Moving Backward	Not a Pedestrian	No distancing	Slight Injury
93	9:45:00	Sunday	Over 51	Male	Junior high school	Employee	1-2yr	Owner	 Church areas	Two-way (divided with broken lines road marking)	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Collision with roadside objects	2	1	Going straight	Not a Pedestrian	No distancing	Slight Injury
94	9:45:00	Sunday	Over 51	Male	Junior high school	Employee	5-10yr	Governmental	 Church areas	Double carriageway (median)	Tangent road with flat terrain	Crossing	Asphalt roads	Dry	Daylight	Normal	Vehicle with vehicle collision	2	1	Going straight	Not a Pedestrian	No priority to pedestrian	Slight Injury
95	17:35:00	Thursday	18-30	Male	Junior high school	Employee	2-5yr	Owner	Residential areas	Double carriageway (median)	Tangent road with flat terrain	Y Shape	Other	Dry	Daylight	Normal	Vehicle with vehicle collision	3	1	Going straight	Not a Pedestrian	Driving carelessly	Slight Injury
96	17:35:00	Thursday	18-30	Male	Junior high school	Employee	2-5yr	Owner	Office areas	Two-way (divided with broken lines road marking)	Tangent road with mild grade and flat terrain	Y Shape	Gravel roads	Dry	Daylight	Normal	Vehicle with vehicle collision	3	1	Going straight	Not a Pedestrian	Changing lane to the right	Slight Injury
97	17:35:00	Thursday	31-50	Male	Junior high school	Employee	2-5yr	Owner	Office areas	Two-way (divided with broken lines road marking)	Tangent road with mild grade and flat terrain	Y Shape	Gravel roads	Dry	Daylight	Normal	Vehicle with vehicle collision	3	1	Going straight	Not a Pedestrian	Changing lane to the left	Slight Injury
